32,فريم شباك لون اسود هندي 230×23 سم,,Raw Material - مواد أولية, , ,0,حبه,0,0,,SA-000032,1,5
33,رخام طبيعي موديل اونيكس فيولا ألواح,,Raw Material - مواد أولية, , ,0,SQM,0,0,00036  مؤسسة يحيى علي خولا للرخام والجرانيت,SA-000033,1,5
34,مرايا ليد اصفر محلي مقاس 70×120 سم,,صحية,مرايا,108,0,حبه,0,1,00043  مؤسسة صالح جمعان الغامدي - تفصيل مرايا,SA-000034,1,5
35,مرايا مع ليد اصفر محلي مقاس 70×110 سم,,صحية,مرايا,108,0,حبه,0,0,00043  مؤسسة صالح جمعان الغامدي - تفصيل مرايا,SA-000035,1,5
36,شطاف ألماني ABM,,Raw Material - مواد أولية, , ,0,حبه,0,0,00013  قصر المعلم,SA-000036,1,5
37,مغسلة زجاج بالحجر النادر Glass Bowl Round Wash basin with gems,,Raw Material - مواد أولية, , ,0,حبه,0,0,00044  مؤسسة أناقة الرخام,SA-000037,1,5
38,أعمال خشبية - أبواب,,Raw Material - مواد أولية, , ,0,حبه,0,0,00050  شركة النجارة الذهبية,SA-000038,1,5
39,بانيو أوال تكساس بحريني 80×190 سم,,Raw Material - مواد أولية, , ,0,حبه,0,0,00005  الجسمي,SA-000039,1,5
40,موزاييك تفصيل حسب الطلب مقاس 30×30,,Raw Material - مواد أولية, , ,0,حبه,0,0,00044  مؤسسة أناقة الرخام,SA-000040,1,5
41,صفاية الهناء ستانلس ستيل مقاسل 15×15 سم,,Raw Material - مواد أولية, , ,0,حبه,0,1,00013  قصر المعلم,SA-000041,1,5
42,بانيو اوال موديل اورلاندو 106×180 سم,,Raw Material - مواد أولية, , ,0,حبه,0,0,00005  الجسمي,SA-000042,1,5
43,تذهيب معادن,,Raw Material - مواد أولية, , ,0,حبه,14,0,00032  نحاسيات ابن الوليد,SA-000043,1,5
44,مراية محلية مقاس 100×110 سم مع ليد اصفر وكسر حرف,,Raw Material - مواد أولية, , ,900,حبه,2,0,00043  مؤسسة صالح جمعان الغامدي - تفصيل مرايا,SA-000044,1,5
45,مرايا ليد اصفر مقاس 80×130 سم,,Raw Material - مواد أولية, , ,0,حبه,1,0,00043  مؤسسة صالح جمعان الغامدي - تفصيل مرايا,SA-000045,1,5
46,مغسلة رخام مقاس 133×55 سم شرشف 20 سم من جهتين وسكلو 10 سم والشرشف مطعم من 5380,,رخام,رخام صناعي, ,5000,حبه,1,0,,SA-000046,1,5
47,مجموعة دوش صنع ايطاليا مع سماعه وطاسة دائرية,,Raw Material - مواد أولية, , ,600,حبه,1,0,,SA-000047,1,5
48,مغسلة رخام مقاس 126×55 سم شرشف 20 وسكلو 10 سم الحوض مائل رخام من 4120,,Raw Material - مواد أولية, , ,6000,حبه,1,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000048,1,5
49,مغسلة رخام تركي 110×55 مع سكلو وشرشف من لونين بني وبيج بيلينكو,,رخام,رخام صناعي,106,6500,حبه,1,0,,SA-000049,1,5
50,مراية محلية مع ليد أصفر شمسي مقاس 90×80 سم,,صحية,مرايا, ,800,حبه,1,0,00043  مؤسسة صالح جمعان الغامدي - تفصيل مرايا,SA-000050,1,5
51,مغسلة رخام تركي 130×55 سم لون بني معرق والحوض لون بني كابتشينو سادة قفص حديد,,رخام,رخام صناعي,106,8500,حبه,1,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000051,1,5
52,مغسلة رخام 130×55 موديل 5050 و سوبر وايت عماني مع شرشف 20سم وسكلو,,رخام,رخام صناعي,106,7500,حبه,1,0,,SA-000052,1,5
53,مغسلة رخام مقاس 150×55 مع شرشف 20 وسكلو 10 موديل 4030 تركي,,رخام,رخام صناعي,106,7500,حبه,1,0,,SA-000053,1,5
54,مغسلة رخام مقاس 80×55 سم شرشف 20 وسكلو,,رخام,رخام صناعي,106,3000,حبه,1,0,,SA-000054,1,5
55,بانيو اوال اكريليك فوق البلاط فري ستاند موديل ارتيزيا,,صحية,بانيوهات, ,2750,حبه,1,0,,SA-000055,1,5
56,مغسلة رخام صناعي مقاس 130×55 مع سكلو من لونين 8727-9113 بيلينكو,,رخام,رخام صناعي,106,8500,حبه,1,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000056,1,5
57,جاكوزي هاواي مقاس 180 سم دائري الفئة الذهبية,,صحية,بانيوهات,45,13380,حبه,0,0,,SA-000057,1,5
58,مغسلة رخام فري ستاند مقاس 60×70 ارتفاع 85 سم لون رمادي ورف لون ابيض,,رخام,رخام صناعي,,6500,حبه,0,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000058,1,5
59,مغسلة رخام 110×55 سم مع سكلو لون رمادي غامق يركب على شاسيه حديد 7537,,رخام,رخام صناعي,106,7000,حبه,1,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000059,1,5
60,مغسلة رخام 120×55 سم مع شرشف 20 وسكلو 10 سم اللون 1141مع رخام امبرادور طبيعي,,رخام,رخام صناعي,106,6500,حبه,1,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000060,1,5
61,كونسول خشبي مع برواز للمراة  مع مراة وكاونتر رخام 110×45 سم,,Raw Material - مواد أولية, , ,11200,حبه,1,0,,SA-000061,1,5
62,مغسلة رخام تفصيل مقاس 270 سم,,رخام,رخام صناعي, ,0,حبه,0,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000062,1,5
63,رف رخام تحت المغسلة,,رخام,رخام صناعي, ,0,حبه,0,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000063,1,5
64,مراية محلية الصنع لمغاسل الرخام,,Raw Material - مواد أولية, , ,0,حبه,0,0,00043  مؤسسة صالح جمعان الغامدي - تفصيل مرايا,SA-000064,1,5
65,مغسلة رخام مقاس 227 سم بين جدارين مع احواض رخام,,رخام,رخام صناعي, ,0,حبه,0,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000065,1,5
66,مغسلة رخام مقاس 110 سم لون ابيض مع عرق رمادي والقاعده لون اسود,,Raw Material - مواد أولية, , ,0,حبه,0,0,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000066,1,5
67,رخام كارامان مقاس 60×60 سم,,رخام,رخام طبيعي, ,0,حبه,0,0,,SA-000067,1,5
68,بانيو موديل اوال محارة 150×70 سم مع القاعدة والجوانب,,صحية,بانيوهات, ,0,حبه,0,0,00005  الجسمي,SA-000068,1,5
69,هراب بانيو انجليزي,,Raw Material - مواد أولية, , ,0,حبه,0,0,00005  الجسمي,SA-000069,1,5
70,مراية زجاج ليد اصفر مقاس 120×75 سم,,Raw Material - مواد أولية, , ,0,حبه,1,0,00043  مؤسسة صالح جمعان الغامدي - تفصيل مرايا,SA-000070,1,5
71,بانيو أوال فارجو مقاس 180×80 سم لون أبيض,,Raw Material - مواد أولية, , ,0,حبه,0,0,,SA-000071,1,5
72,رخام امبرادور اسباني 30×60 سم,,Raw Material - مواد أولية, , ,0,SQM,1.98,0,00016  شركة تراكو الدولية,SA-000072,1,5
73,جاكوزي أوال موديل بارادايس الفئة الذهبية 190×130,,Raw Material - مواد أولية, , ,0,حبه,1,0,00005  الجسمي,SA-000073,1,5
74,حزام رخام بيلينكو,,Raw Material - مواد أولية, , ,0,حبه,0,15,00045  مصنع سبائك العالمي لتشكيل المعادن,SA-000074,1,5
75,italian hand shower with hose 1.5 m and hanger chrome,,Raw Material - مواد أولية, , ,0,حبه,0,0,00038  مركز جدة - شركة ميسم النخبة التجارية,SA-000075,1,5
76,أجور تركيب شاور تفصيل,,Raw Material - مواد أولية, , ,0,حبه,0,1,00043  مؤسسة صالح جمعان الغامدي - تفصيل مرايا,SA-000076,1,5
1,بورسلان فوريست موجانو,,سيراميك وبورسلان,باركيه,,155.25,كرتون,0,0,00006  العمارة,SA-0001,1,5
2,بورسلان فوريست وينجو,,سيراميك وبورسلان,باركيه,,155.25,حبة,0,0,00006  العمارة,SA-0002,1,5
001.0505.2414,ترويبة اسباني H&B Grey Color 5KG,,Raw Material - مواد أولية, ,103,0,كيس,0,0,00025  بيت هايل لمواد البناء,SA-001.0505.2414,1,5
001.0505.4176,موزاييك Penta Blue Hawai Malla 5x5 Cm,,موزاييك,,103,210,SQM,0,0,,SA-001.0505.4176,1,5
001.0505.4177,موزايك Penta Sena Malla 5x5 Cm,,موزاييك,,103,210,SQM,0,0,,SA-001.0505.4177,1,5
001.0730.0070,بريك اسباني ALLEGRO WHITE 7.5X30 CM,,سيراميك وبورسلان,جدران,103,185,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.0730.0070,1,5
001.0730.0071,بريك اسباني ALLEGRO BEIGE 7.5X30 CM,,سيراميك وبورسلان,جدران,103,184,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.0730.0071,1,5
001.0730.0072,بريك اسباني ALLEGRO GREY 7.5X30 CM,,سيراميك وبورسلان,جدران,103,185,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.0730.0072,1,5
001.0730.0074,بريك اسباني ALLEGRO BLACK 7.5X30 CM,,سيراميك وبورسلان,جدران,103,184,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.0730.0074,1,5
001.0730.0075,بريك اسباني ALLEGRO BLUE 7.5X30 CM,,سيراميك وبورسلان,جدران,103,184,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.0730.0075,1,5
001.100100.0101,بورسلان إسباني Caledonia Beige Matt Rect 100x100 cm,,سيراميك وبورسلان,أرضيات,103,167,SQM,0,0,,SA-001.100100.0101,1,5
1.1003,هراب مغسلة اسباني Valve Pino Round,,صحية,مغاسل,103,315,حبه,1,0,00025  بيت هايل لمواد البناء,SA-001.1003,1,5
1.1004,هراب مغسلة اسباني Valve CALACATA Round,,صحية,مغاسل,103,315,حبه,0,0,00025  بيت هايل لمواد البناء,SA-001.1004,1,5
001.120120.1100,Portobello Polished 120x120 cm,,سيراميك وبورسلان,أرضيات,103,280,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.1100,1,5
001.120120.1104,Versailles Polished  120X120 cm,,سيراميك وبورسلان,أرضيات,103,280,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.1104,1,5
001.120120.1105,Atlantis Gold Polished 120x120 cm,,سيراميك وبورسلان,أرضيات,103,254,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.1105,1,5
001.120120.1106,Pulpis Cream Polished 120x120 cm,,سيراميك وبورسلان,أرضيات,103,254,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.1106,1,5
001.120120.1107,Pulpis Grey Polished 120x120 cm,,سيراميك وبورسلان,أرضيات,103,254,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.1107,1,5
001.120120.2220,Mariella White Rect 120x120 cm,,سيراميك وبورسلان,أرضيات,103,236,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.2220,1,5
001.120120.2221,Mariella Grey Rect 120x120 cm,,سيراميك وبورسلان,أرضيات,103,236,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.2221,1,5
001.120120.2222,Versailles Rect 120x120 cm,,سيراميك وبورسلان,أرضيات,103,236,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.2222,1,5
001.120120.2223,Atlantis Gold Rect 120x120 cm,,سيراميك وبورسلان,أرضيات,103,228,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.2223,1,5
001.120120.2224,Pulpis Cream Matt. 120x120 cm,,سيراميك وبورسلان,أرضيات,103,228,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.2224,1,5
001.120120.2225,Pulpis Grey Matt 120x120 Cm,,سيراميك وبورسلان,أرضيات,103,228,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.120120.2225,1,5
001.12020.0001,بورسلان اسباني Sonora Natural +C1 20x120 cm,,سيراميك وبورسلان,باركيه,103,161,SQM,0,60.48,00025  بيت هايل لمواد البناء,SA-001.12020.0001,1,5
001.12020.0010,بورسلان باركيه اسباني WONDER GREY 19.7X120,,سيراميك وبورسلان,باركيه,103,126,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12020.0010,1,5
001.12020.0011,بورسلان باركيه اسباني WONDER NATURAL 19.7X120,,سيراميك وبورسلان,باركيه,103,126,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12020.0011,1,5
001.12020.0012,بورسلان باركيه اسباني WONDER OLD 19.7X120,,سيراميك وبورسلان,باركيه,103,126,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12020.0012,1,5
001.12023.1107,بورسلان خشبي اسباني ARTWOOD DARK 23X120 CM,,سيراميك وبورسلان,باركيه,103,95,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12023.1107,1,5
001.12023.1110,بورسلان اسباني باركيه HALIFAX WHITE 23X120,,سيراميك وبورسلان,باركيه,103,95,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12023.1110,1,5
001.12023.1161,بورسلان خشبي اسباني VALPARAISO OAK 23.3X120 CM,,سيراميك وبورسلان,باركيه,103,95,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12023.1161,1,5
001.12023.1165,بورسلان اسباني خشبي Jazz Almond 23.3x120 Cm,,سيراميك وبورسلان,جدران,103,91,BOX,0,0,,SA-001.12023.1165,1,5
001.12023.1166,بورسلان خشبي اسباني Jazz Oak 23.3x120 CM,,سيراميك وبورسلان,باركيه,103,91,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12023.1166,1,5
001.12023.1167,بورسلان خشبي اسباني Jazz Taupe 23.3x120 CM,,سيراميك وبورسلان,باركيه,103,91,BOX,0,0,,SA-001.12023.1167,1,5
001.12060.0050,بورسلان اسباني Goggenheim White 60.7x120.7,,سيراميك وبورسلان,أرضيات,103,0,SQM,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.0050,1,5
001.12060.0051,بورسلان اسباني OXIDE 60.7X120.7 CM,,سيراميك وبورسلان,أرضيات,103,275,BOX,0,8.82,00025  بيت هايل لمواد البناء,SA-001.12060.0051,1,5
001.12060.1100,بورسلان اسباني PORTOBELLO POLISHED RECT 60X120 CM,,سيراميك وبورسلان,أرضيات,103,145,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.1100,1,5
001.12060.1102,بورسلان اسباني PULPIS GREY POLISHED RECT 60X120 CM,,سيراميك وبورسلان,أرضيات,103,145,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.1102,1,5
001.12060.1103,بورسلان اسباني AURA POLISHED RECT 60X120 CM,,سيراميك وبورسلان,أرضيات,103,145,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.1103,1,5
001.12060.1106,بورسلان إسباني Travertino Polished Rect 120x60 cm,,سيراميك وبورسلان,جدران,103,149,BOX,0,0,,SA-001.12060.1106,1,5
001.12060.1107,بورسلان اسباني Atlantis Gold Polished Rect 60x120 cm,,سيراميك وبورسلان,جدران,103,149,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.1107,1,5
001.12060.1130,بورسلان اسباني Pulpis Grey Rect 60x120 CM,,سيراميك وبورسلان,أرضيات,103,145,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.1130,1,5
001.12060.1131,بورسلان اسباني PULPIS CREAM RECT 60X120 CM,,سيراميك وبورسلان,أرضيات,103,145,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.1131,1,5
001.12060.6501,بورسلان مطفي لماع Rosa Portugal 60x120 Cm,,سيراميك وبورسلان,جدران,103,130,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.6501,1,5
001.12060.6503,بورسلان اسباني مطفي Space Pone Rect 60x120 Cm,,سيراميك وبورسلان,جدران,103,130,BOX,0,214.56,00025  بيت هايل لمواد البناء,SA-001.12060.6503,1,5
001.12060.6504,بورسلان اسباني Space Gris Rect 60x120 Cm,,سيراميك وبورسلان,جدران,103,130,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.6504,1,5
001.12060.6508,بورسلان اسباني White Soul Rect 60x120 cm,,سيراميك وبورسلان,جدران,103,130,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.12060.6508,1,5
001.12060.6510,بورسلان اسباني Calacatta Gold Rect. 60x120 Cm,,سيراميك وبورسلان,أرضيات,103,130,BOX,0,0,,SA-001.12060.6510,1,5
001.12060.6600,بورسلان اسباني مطفي Crema Marfil Matt Rect 60x120 Cm,,سيراميك وبورسلان,جدران,103,130,BOX,0,0,,SA-001.12060.6600,1,5
001.12060.7005,بورسلان إسباني Firenze Perla 60x120 cm,,سيراميك وبورسلان,أرضيات,103,98,BOX,0,0,,SA-001.12060.7005,1,5
001.12060.7011,بورسلان اسباني Norwach blanco Rect 60x120 cm,,سيراميك وبورسلان,أرضيات,103,98,BOX,0,0,,SA-001.12060.7011,1,5
001.12060.7015,Duomo Blanco Rect 120x60 cm بورسلان اسباني,,سيراميك وبورسلان,أرضيات,103,98,BOX,0,0,,SA-001.12060.7015,1,5
1.1403,حوض مغسلة Antea wash basin big oval calacata,,صحية,مغاسل,103,1540,حبه,0,0,00025  بيت هايل لمواد البناء,SA-001.1403,1,5
001.150260.0001,الواح بورسلان اسباني ATLANTIS SILK 150X260X6 CM,,سيراميك وبورسلان,أرضيات,103,403,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.150260.0001,1,5
001.150260.0002,الواح بورسلان اسباني COPENHAGUEN GREY SILK 150X260X6 CM,,سيراميك وبورسلان,أرضيات,103,376,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.150260.0002,1,5
001.150260.0003,بورسلان الواح اسباني COPENHAGUEN WHITE SILK 150X260X6 CM,,سيراميك وبورسلان,أرضيات,103,376,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.150260.0003,1,5
001.150260.0004,بورسلان الواح اسباني GLACIAR SILK 150X260X6 CM,,سيراميك وبورسلان,أرضيات,103,403,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.150260.0004,1,5
001.150260.0005,بورسلان الواح اسباني MANHATTAN BEIGE SILK 150X260X6 CM,,سيراميك وبورسلان,أرضيات,103,376,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.150260.0005,1,5
001.150260.0006,بورسلان الواح اسباني MANHATTAN GREY SILK 150X260X6 CM,,سيراميك وبورسلان,أرضيات,103,376,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.150260.0006,1,5
001.150260.0007,بورسلان الواح اسباني MANHATTAN WHITE SILK 150X260X6 CM,,سيراميك وبورسلان,أرضيات,103,376,BOX,0,0,00025  بيت هايل لمواد البناء,SA-001.150260.0007,1,5
