رمز المادة,اسم المادة,اسم المستودع,المجموعة,الواحدة 1,الواحدة 2,الر مز الوارد,الإسم الوارد,سعر الشراء
SPER000117,مسمار دريوول درل أسود,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,4654030065,DRYWALL DRILL SCREW BALCK - METRIC,0.02
SPER000118,صنارة مسامير ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICS000491,SCREWS HOOK TYPES,3
SPER000119,جلبة بلاستيك 0.75 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICC000196,"COUPLING PVC 3/4""",1.75
SPER000120,مكنسة شوارع أسود,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000236,BROOM BLACK 60 CM,20
SPER000121,معجون النصل الفولاذ المجموعة 4,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,1487,PUTTY BLADE SET 4 PCS STEEL,10
SPER000122,حديد مربع فارغ 12×12 سم 1.2 مم ط 6 م,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,20221212126,,10
SPER000123,ماسورة ستانلس 16-1.2-304,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,ماسورة,,646,,40
SPER000124,ماسورة ستانلس 25-1.2-304,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,ماسورة,,132,,60
SPER000125,مبسط عادي 25 / 3 ط 4 م,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,20112503040,,6
SPER000126,شد وصل بلاستيك 1 بوصة ض 80 بارد,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICU000045,"UNION UPVC 1""",9
SPER000127,جلبة بلاستيك 1 بوصة ض 80,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICC000205,"COUPLING PVC 1""",3
SPER000128,جلبة ذكر نحاس 1 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICM000002,"M/ADPTER BRASS THR.CPVC 1""",7
SPER000129,جلبة سن داخلي نحاس ( 1بوصة×1بوصة ),Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICF000009,FEM/ADAPTER BRASS THREAD CPVC 1*1 INCH,15
SPER000130,برغي حديد مكلفن مقاس 40×8,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000630,BOLTS G.I. 40*8,0.35
SPER000131,أداة حفر كوبالت 10 مل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICC000123,COBALT DWESSER 10 MM,25
