رمز المادة,اسم المادة,اسم المستودع,المجموعة,الواحدة 1,الواحدة 2,الر مز الوارد,الإسم الوارد,سعر الشراء
RAWM000052,خشب إم دي إف 18 ملم درجة أولى,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,,,55
RAWM000053,خشب إم دي إف 2.5 مم عادي 4×8 رايونج تايلاندي,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,32310254809,,11
RAWM000054,خشب إم دي إف 2.5 مم عادي 4×8 كوري,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,3231025480K,,11
RAWM000055,خشب إم دي إف 17 مم عادي 4×8 فانا تشاي تايلاندي,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,3231025480K,,52
RAWM000056,خشب ام دي اف 17 مم 4 × 8 برازيلي,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,3231174800Z,,50
RAWM000057,خشب إم دي إف عادي 30مم×122×244سم,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,2047,,150
RAWM000058,خشب إم دي إف 17 مم عادي 4×8 سيام تايلاندي,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,323117480SM,,50
SPER000207,قفازات لحم طويلة ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,214,BATAL214,
CA000001,ممسكة دفن,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,7030,WOODEN DRAWER ( DHUPEN ),5
CA000002,مسمار جبس ,Raw Materials - A - المواد الأولية - A,قسم المنجرة,حبة,,41270,SCREW WHITE & BLACK,0.01
CA000003,مفصلات دانكو,Raw Materials - A - المواد الأولية - A,قسم المنجرة,حبة,,26005,"HINGES DANCO ""OC""",2
CA000004,مجابذ 2 قطعة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,35001,Majabath 2 gatha ga-16 ,0.75
CA000005,سكة سحاب 50 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,زوج,,5074,Drawer Guide Soft Closing 50cm,40
CA000006,خشب سويدي رابع 5 × 22.5,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,م 3,,150423,,"1,750.000"
CA000007,خشب إم دي إف عادي 17 مم *122 *244 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,لوح,,2601010240,ORDINARY M D F 17MM *122*244 CM,47
CA000008,خشب إم دي إف عادي 4.70 مم *122 *244 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,لوح,,2601010088,ORDINARY M D F 4.70 MM *122*244 CM,15
CA000009,خشب إم دي إف عادي 11 مم *122 *244 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,لوح,,2601010190,ORDINARY M D F 11 MM *122*244 CM,32
CA000010,خشب إم دي إف عادي 2.5 مم *122 *244 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,لوح,,2601010050,ORDINARY M D F 2.5 MM *122*244 CM,9
CA000011,غراء سناب 446 برميل 35 كجم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,برميل,,2915010080,SNABB GLUE 446 BARREL 35 KG,200
CA000012,بكرة توصيل كهرباء 50 متر 3 مقبس كستنماخر ألماني,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,4103151101,KISTENMACHER ELECTRIC GALVANIZED STEELCABLE REEL ,170
CA000013,ازميل خشب - ستانلي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,153334000,CHISEL SET : WOOD,70
CA000014,شاكوش - برازيلي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,191612000,HAMMER - BRAZIL,13
CA000015,زرادية أسلاك - ألماني,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,212676800,NIPPER -GERMAN,32
CA000016,صاروخ ديولت  4.5 ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,377,DWE4120,280
CA000017,زاوية نجار أصفر 35 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,255,,9
CA000018,دريل ماكيتا 16 مل روماني 1640 مع ريش 100 قطعة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,470,,380
CA000019,متر 5 م أصفر بالملي 19 ملي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,9623,,7
CA000020,متر 5 م ربل بالانش والملي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,9636,,9
CA000021,"MASKING TAPE 1"" ABRO USE",Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,24,,2
CA000022,"MASKING TAPE 2"" ABRO USE",Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,6,,3
CA000023,لقمة مربع ياباني دريل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,8
CA000024,دبوس مسمار 50 F,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,20
CA000025,دبوس مسمار F40 ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,18
CA000026,دبوس مسمار 25 F,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,15
CA000027,دبوس مسمار 20 F,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,12
CA000028,دبوس مسمار 10 F,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,10
CA000029,قاعدة لصق جوكوسات,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,15
CA000030,سنفرة لصق مقاس 60,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,1.4
CA000031,سنفرة لصق مقاس 80,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,1.3
CA000032,دسك قص كبير لماكينة صينية القص للمنجرة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,OMAS-0005,TCT CIRCULAR SAW WITH ALTERNATE BEVEL TOOTH,130
CA000033,خشب ميرانتي 5×25,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,م 3,,165025,,"2,600.000"
CA000034,مسمار دباسة هواء مقاس 30,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,170054,,10
CA000035,Drawer Guide Soft Closing 45cm,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,زوج,,5073,,35
CA000036,مسمار مسدس 25 F,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,علبة,,86002,Musades Pin F 25,15
CA000037,فورميكا 802,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,لفة,,,,350
CA000038,فورميكا سلفر مطفى,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,لفة,,,,250
CA000039,كرتون اساس ابيض ,Raw Materials - A - المواد الأولية - A,قسم المنجرة,كرتونة,,,,120
CA000040,جالون أساس أبيض,Raw Materials - A - المواد الأولية - A,قسم المنجرة,كالون,,,,55
CA000041,جالون أبيض لميع,Raw Materials - A - المواد الأولية - A,قسم المنجرة,كالون,,,,55
CA000042,جالون أبيض مطفي,Raw Materials - A - المواد الأولية - A,قسم المنجرة,كالون,,,,55
CA000043,عمود لزق عريض,Raw Materials - A - المواد الأولية - A,قسم المنجرة,حبة,,,,15
CA000044,عمود لزق رفيع صغير,Raw Materials - A - المواد الأولية - A,قسم المنجرة,حبة,,,,20
CA000045,متر صغيرة 120 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,5
CA000046,متر صغيرة 150 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,5
CA000047,متر صغيرة 100 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,5
CA000048,طقم سكين,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,,,5
CA000049,برميل معجون فلكس,Raw Materials - A - المواد الأولية - A,قسم المنجرة,برميل,,,,50
CA000050,برميل تنر كربل كبير,Raw Materials - A - المواد الأولية - A,قسم المنجرة,برميل,,,,130
CA000051,ريشة 12.7×34.90,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,93535011,,150
CA000052,خشب سويدي خامس3.8×22.5,Raw Materials - A - المواد الأولية - A,قسم المنجرة,م 3,,150538,,"1,550.000"
CA000053,صنفرة مدور 60,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,حبة,,60EPK,,1.45
CA000054,خشب سويدي خامس3.2×22.5,Raw Materials - A - المواد الأولية - A,قسم المنجرة,م 3,,150532,,"1,500.000"
CA000055,بلاستك شفاف 1.22×2.44×2 مل,Raw Materials - A - المواد الأولية - A,قسم المنجرة,لوح,,M000200,,138.1
CA000056,خشب ام دي اف موغنو 18مم×122×244سم,Raw Materials - A - المواد الأولية - A,قسم المنجرة,لوح,,2054,,100
CA000057,مسامير 6 سم ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,علبة,,,,30
CA000058,مسامير 8 سم ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,علبة,,,,35
CA000059,مسامير 7 سم ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,علبة,,,,35
CA000060,مسامير 4 سم ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,علبة,,,,25
CA000061,مسامير 3 سم أسود,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,علبة,,,,20
CA000062,مسامير 2.5 سم ناعم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قسم المنجرة,علبة,,,,20
CA000063,خشب سويدي رابع 5×25 سم,Raw Materials - A - المواد الأولية - A,قسم المنجرة,لوح,,1062,,"1,850.000"
CA000064,خشب إم دي إف أبيض 18مم×122×244سم,Raw Materials - A - المواد الأولية - A,قسم المنجرة,لوح,,2063,,80
SIR00021,رولات ألمنيوم 140/21,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,10204,ALLUM.ROLLER 140/21,45
SIR00022,رولات ألمنيوم 180/45,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,10208,ALLUM.ROLLER 180/45,45
SIR00023,رولات ألمنيوم 35/12,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,10209,ALLUM.ROLLER 12/35,45
AKAG00001,XL PAINT CRYL COAT GAL,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C010130084,,150
AKAG00002,XL HIGHBUIL PRIMER GREY WITH HARDENER3 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C030310012,,115.34
AKAG00003,XL 2K THINNER SLOW 4.75 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C050510005,,65.03
AKAG00004,PAINT STRAINERS,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,02H122310001,,0.01
AKAG00005,CHEMATIC HARDENER 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C040410010,,33.33
AKAG00006,XL CRYL COAT PAINT 444 GAL,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C010130089,,143
AKAG00007,SIKKENS HARDENER P 15,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01S040440003,,97.37
AKAG00008,SIKKENS AUTOCLEAR 5LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C020230006,,193
AKAG00009,XL THNNER LACQUER 15 LITERS,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,02K050550002,,90
AKAG00010,XL 2K THINNER SLOW 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C050510004,,21.9
AKAG00011,IWATA W400 WBX C. GUN 1.4 PRO KIT,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,قطعة,,01I102010007,,"2,670.000"
AKAG00012,GRIFO THNNER SLOW 5 LILTER,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C050510009,,81
AKAG00013,THINNER LACQUER GRIFO 17 LITERS,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,2K050550001,,78
AKAG00014,SIKKENS THINNER 123 SLOW 5LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C050510019,,104
AKAG00015,SIKENS EP PRIMER 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01S030340004,,86.67
AKAG00016,SIKKENS EP EP HARDNER ,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01S040450002,,57.3
AKAG00017,SIK AUTOBASE PLUS XIRALLIC MIXED COLOR 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01S010120223,,160
AKAG00018,GRIFO BODY FILLER 1.7 KGS,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01G060620002,,33.5
AKAG00019,XL PERFECT CRYL PAINT 3 LITER,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C010130011,,102.42
AKAG00020,DPI HIQ MASTER CLEAR 4LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C020220007,,125.8
AKAG00021,3M 5N11 FILTER,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,13102010005,CSM 450-EMCL (TSH),13
AKAG00022,XL PRIMER GREY 3 LTR WITH HARDNER 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,02W03031000,,128.27
AKAG00023,SIKKENS ACLEAR M&M LOW GLOSS WE 1 L,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,01S020240003,,175
AKAG00024,XL CRYLOCAT MIXED COLOR 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,01C010130102,,65
AKAG00025,THINNER LACQUER GRIFO 17 LITERS,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,02K050550001,,78
AKAG00026,THINNER MASTER CRYL 17 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,05L050540001,,78
AKAG00027,3M RESPIRATOR N95 W/O FACESEA,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,13092340,,18
AKAG00028,HARDENER T-5,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,40420,,38.2
AKAG00029,DYNA CLER MAT 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01S020240,,86.2
AKAG00030,DYNA HARDNER SLOW 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01S040410,,84
AKAG00032,SIKKENS AUTOCRYL RM TOY 202 3LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C010130,,110
AKAG00033,HARDNER TUBE 70 GRM,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C040420,,9
AKAG00034,DYN BC MIXED XIRALLIC COLOR 1,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01S010120,,110
AKAG00035,DPI 2K HARDENER CCH200 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C040410,,43.15
AKAG00036,XL HARDENER HPT5 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,40420,,38.2
AKAG00037,XL CHEMATIC T10 HARDENER,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C040410,,33.33
AKAG00038,XL CHEMATIC THINNER SLOW 4.75 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C050510,,65.03
AKAG00039,DYNA THINNER SLOW 5 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01Y050510,,103
AKAG00040,XL HARDNER TUBE 70 GRM,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C040420,,9
AKAG00041,سنفرة ياباني رقم 800,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,01K071710,TKX W/A ABRASIVE P800,1.72
AKAG00042,مجفف اساس اكس ال هايبيل 1 لتر,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C040410,HARDENER XL HIGHBUILD 1 LTR,31.65
AKAG00043,نورتن كمامة دبل ( ايه 2 سي 2 ),Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,04W102010,NORTON DUAL CARTRIDGE RESPIRATOR M,141.95
AKGA00031,DYNAHARDNER FAST 1 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01S040420,,75
SIRL00001,HONEY WAX 397G CAN,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,10051,HONEY WAX 397G CAN,40
SIRL00002,SIROPOL 8340-P,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,30OR010,SIROPOL 8340-P,6.8
SIRL00003,SIROPOL 8420-P,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,30OR007,SIROPOL 8420-P,7.3
SIRL00004,SIROGEL 9000,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,65GC001,SIROGEL 9000,11.65
SIRL00005,MEKP M-50 ( LARGE ) AKZ,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,10060,MEKP M-50 ( LARGE ) AKZ,18
SIRL00006,P.P.SUPPER BLACK,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10101,P.P.SUPPER BLACK,40
SIRL00007,CABOSIL -(SMALL),Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10265,CABOSIL -(SMALL),30
SIRL00008,CSM 450-EMCL (TSH),Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10384,CSM 450-EMCL (TSH),7.3
SIRL00009,CSM 300 GRM (EICO),Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10535,CSM 300 GRM (EICO),7.309
SIRL00010,HETRON 922-P,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,55VR004,CSM 300 GRM (EICO),17
SIRL00011,CALCIUM SMB-7 (FINE),Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10016,CSM 300 GRM (EICO),1
SIRL00012,COBALT 6%,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10021,,50
SIRL00013,CSM 300-EMCL (TSH),Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10385,,7.3
SIRL00014,SOLVENT CLEANER PRC-01,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10480,,7.5
SIRL00015,CSM 450-EMCL (AMP),Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10547,CSM 450-EMCL (TSH),7.5
SIRL00016,SIROPOL 8771-P,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,30OR172,,8.5
SIRL00017,SIROPOL RESIN SOLVENT,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,20IS093,,8.5
SIRL00018,RELEASING AGENT SL-2,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,SP00010,,25
SIRL00019,FUMED SILICA KONASIL K-200,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10566,,60
SIRL00020,PIGMENT PASTE SIGNAL RED,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10092,,50
